record_id,month,day,year,AverageTemperatureFahr,AverageTemperatureUncertaintyFahr,City,country_id,Country,Latitude,Longitude
474376,1,1,1853,NA,NA,Auckland,NEW,New Zealand,36.17S,175.03E
474377,2,1,1853,NA,NA,Auckland,NEW,New Zealand,36.17S,175.03E
474378,3,1,1853,NA,NA,Auckland,NEW,New Zealand,36.17S,175.03E
474379,4,1,1853,NA,NA,Auckland,NEW,New Zealand,36.17S,175.03E
474380,5,1,1853,NA,NA,Auckland,NEW,New Zealand,36.17S,175.03E
474381,6,1,1853,51.9062,36.9572,Auckland,NEW,New Zealand,36.17S,175.03E
474382,7,1,1853,52.3886,34.5488,Auckland,NEW,New Zealand,36.17S,175.03E
474383,8,1,1853,52.853,33.5498,Auckland,NEW,New Zealand,36.17S,175.03E
474384,9,1,1853,52.5776,33.638,Auckland,NEW,New Zealand,36.17S,175.03E
474385,10,1,1853,54.8726,33.9836,Auckland,NEW,New Zealand,36.17S,175.03E
474386,11,1,1853,56.6888,34.2518,Auckland,NEW,New Zealand,36.17S,175.03E
474387,12,1,1853,59.846,37.5062,Auckland,NEW,New Zealand,36.17S,175.03E
474388,1,1,1854,64.5908,36.23,Auckland,NEW,New Zealand,36.17S,175.03E
474389,2,1,1854,65.372,35.6576,Auckland,NEW,New Zealand,36.17S,175.03E
474390,3,1,1854,64.9688,35.3966,Auckland,NEW,New Zealand,36.17S,175.03E
474391,4,1,1854,59.927,35.2022,Auckland,NEW,New Zealand,36.17S,175.03E
474392,5,1,1854,57.5042,34.511,Auckland,NEW,New Zealand,36.17S,175.03E
474393,6,1,1854,54.518,34.7972,Auckland,NEW,New Zealand,36.17S,175.03E
474394,7,1,1854,53.1914,35.024,Auckland,NEW,New Zealand,36.17S,175.03E
474395,8,1,1854,52.8044,34.3544,Auckland,NEW,New Zealand,36.17S,175.03E
474396,9,1,1854,53.3912,33.683,Auckland,NEW,New Zealand,36.17S,175.03E
474397,10,1,1854,54.7538,37.4108,Auckland,NEW,New Zealand,36.17S,175.03E
474398,11,1,1854,57.317,35.0024,Auckland,NEW,New Zealand,36.17S,175.03E
474399,12,1,1854,60.0296,35.924,Auckland,NEW,New Zealand,36.17S,175.03E
474400,1,1,1855,63.3578,36.0716,Auckland,NEW,New Zealand,36.17S,175.03E
474401,2,1,1855,64.346,37.13,Auckland,NEW,New Zealand,36.17S,175.03E
474402,3,1,1855,63.6584,34.3058,Auckland,NEW,New Zealand,36.17S,175.03E
474403,4,1,1855,61.5848,34.7594,Auckland,NEW,New Zealand,36.17S,175.03E
474404,5,1,1855,58.0028,34.1996,Auckland,NEW,New Zealand,36.17S,175.03E
474405,6,1,1855,54.842,33.7568,Auckland,NEW,New Zealand,36.17S,175.03E
474406,7,1,1855,53.1554,33.5048,Auckland,NEW,New Zealand,36.17S,175.03E
474407,8,1,1855,52.3094,34.8422,Auckland,NEW,New Zealand,36.17S,175.03E
474408,9,1,1855,52.61,34.1042,Auckland,NEW,New Zealand,36.17S,175.03E
474409,10,1,1855,57.407,34.2302,Auckland,NEW,New Zealand,36.17S,175.03E
474410,11,1,1855,58.1558,33.7622,Auckland,NEW,New Zealand,36.17S,175.03E
474411,12,1,1855,60.9206,35.7026,Auckland,NEW,New Zealand,36.17S,175.03E
474412,1,1,1856,61.8422,37.9166,Auckland,NEW,New Zealand,36.17S,175.03E
474413,2,1,1856,62.033,37.8878,Auckland,NEW,New Zealand,36.17S,175.03E
474414,3,1,1856,62.1266,35.9114,Auckland,NEW,New Zealand,36.17S,175.03E
474415,4,1,1856,59.801,36.2966,Auckland,NEW,New Zealand,36.17S,175.03E
474416,5,1,1856,55.4288,36.2642,NA,,NA,36.17S,175.03E
474417,6,1,1856,53.2688,35.5856,Auckland,NEW,New Zealand,36.17S,175.03E
474418,7,1,1856,50.9306,36.6656,Auckland,NEW,New Zealand,36.17S,175.03E
474419,8,1,1856,51.5516,36.3308,Auckland,NEW,New Zealand,36.17S,175.03E
474420,9,1,1856,52.8494,34.8008,Auckland,NEW,New Zealand,36.17S,175.03E
474421,10,1,1856,53.9078,37.8698,Auckland,NEW,New Zealand,36.17S,175.03E
474422,11,1,1856,55.5854,37.6772,Auckland,NEW,New Zealand,36.17S,175.03E
474423,12,1,1856,63.7466,34.6208,Auckland,NEW,New Zealand,36.17S,175.03E
474424,1,1,1857,63.5648,35.9654,Auckland,NEW,New Zealand,36.17S,175.03E
474425,2,1,1857,63.1166,37.9544,Auckland,NEW,New Zealand,36.17S,175.03E
474426,3,1,1857,62.1446,36.2156,Auckland,NEW,New Zealand,36.17S,175.03E
474427,4,1,1857,58.5608,35.744,Auckland,NEW,New Zealand,36.17S,175.03E
474428,5,1,1857,53.8034,37.3208,Auckland,NEW,New Zealand,36.17S,175.03E
474429,6,1,1857,52.9538,34.2572,Auckland,NEW,New Zealand,36.17S,175.03E
474430,7,1,1857,52.6676,33.5102,Auckland,NEW,New Zealand,36.17S,175.03E
474431,8,1,1857,52.3364,33.5246,Auckland,NEW,New Zealand,36.17S,175.03E
474432,9,1,1857,53.3354,33.7424,Auckland,NEW,New Zealand,36.17S,175.03E
474433,10,1,1857,53.9888,34.826,Auckland,NEW,New Zealand,36.17S,175.03E
474434,11,1,1857,56.4602,36.635,Auckland,NEW,New Zealand,36.17S,175.03E
474435,12,1,1857,59.5634,38.6168,Auckland,NEW,New Zealand,36.17S,175.03E
474436,1,1,1858,61.0502,40.5032,Auckland,NEW,New Zealand,36.17S,175.03E
474437,2,1,1858,63.3416,35.8844,Auckland,NEW,New Zealand,36.17S,175.03E
474438,3,1,1858,62.8052,36.8564,Auckland,NEW,New Zealand,36.17S,175.03E
474439,4,1,1858,57.5726,39.1532,Auckland,NEW,New Zealand,36.17S,175.03E
474440,5,1,1858,55.0436,39.0002,Auckland,NEW,New Zealand,36.17S,175.03E
474441,6,1,1858,53.4056,34.5164,Auckland,NEW,New Zealand,36.17S,175.03E
474442,7,1,1858,51.0404,35.753,Auckland,NEW,New Zealand,36.17S,175.03E
474443,8,1,1858,52.4174,33.9206,Auckland,NEW,New Zealand,36.17S,175.03E
474444,9,1,1858,53.5388,33.6758,Auckland,NEW,New Zealand,36.17S,175.03E
474445,10,1,1858,54.6008,35.2004,Auckland,NEW,New Zealand,36.17S,175.03E
474446,11,1,1858,57.254,36.608,Auckland,NEW,New Zealand,36.17S,175.03E
474447,12,1,1858,62.276,34.5866,Auckland,NEW,New Zealand,36.17S,175.03E
474448,1,1,1859,64.5872,34.0592,Auckland,NEW,New Zealand,36.17S,175.03E
474449,2,1,1859,65.4764,33.8522,Auckland,NEW,New Zealand,36.17S,175.03E
474450,3,1,1859,63.0788,35.7314,Auckland,NEW,New Zealand,36.17S,175.03E
474451,4,1,1859,61.016,34.7756,Auckland,NEW,New Zealand,36.17S,175.03E
474452,5,1,1859,57.407,34.8746,Auckland,NEW,New Zealand,36.17S,175.03E
474453,6,1,1859,54.3794,34.5668,NA,,NA,36.17S,175.03E
474454,7,1,1859,52.7036,33.2924,Auckland,NEW,New Zealand,36.17S,175.03E
474455,8,1,1859,51.89,34.349,Auckland,NEW,New Zealand,36.17S,175.03E
474456,9,1,1859,52.3202,33.5084,Auckland,NEW,New Zealand,36.17S,175.03E
474457,10,1,1859,57.3152,34.0232,Auckland,NEW,New Zealand,36.17S,175.03E
